id,facilityId,programId,processingPeriodId,status,emergency,numberOfMonthsInPeriod,templateId
3b5cc4f9-c7be-4eb4-96e7-70b98357439b,4b3c5c16-b071-4f3b-a497-2b9666f48663,dce17f2e-af3e-40ad-8e00-3496adef44c3,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,AUTHORIZED,true,10,5a268780-fafd-4243-9551-5c7daa824913
a3f8139f-5aae-471d-8936-4b61c9e00cb0,761c9bf7-f007-4fe6-a497-3f45a8357839,10845cb9-d365-4aaa-badd-b4fa39c6a26a,2d490229-02f8-4235-9be4-1443fd8f7b4f,SUBMITTED,true,8,4b30f6c9-b84b-4f17-8173-852101a5ea29
7dfe1ecb-3126-4424-b294-d93080374dda,b21f0ba4-4564-4c93-b207-39bb51b5273b,10845cb9-d365-4aaa-badd-b4fa39c6a26a,8d870ab0-a8d5-11e7-abc4-cec278b6b50a,IN_APPROVAL,false,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
354a519b-2b75-4a55-965d-d0252dd10f6a,1c7aca77-f036-432e-8d45-36740efa5d8d,dce17f2e-af3e-40ad-8e00-3496adef44c3,65671374-66e2-4a11-a7dc-05b645c6d815,SUBMITTED,false,11,5a268780-fafd-4243-9551-5c7daa824913
5606e4bf-421e-4cb8-9276-fce03c7f776f,af335fe8-3139-4fd9-8766-0027f69cbbf4,dce17f2e-af3e-40ad-8e00-3496adef44c3,a4eefb4e-2bb6-4793-9f70-2cc5365de7c6,SKIPPED,false,9,5a268780-fafd-4243-9551-5c7daa824913
7e55ee7c-ab0f-48cc-85af-5009684a2252,a838dae7-c768-45b6-9ed1-cb3d65dc7b11,dce17f2e-af3e-40ad-8e00-3496adef44c3,f55d9dda-d440-40c0-a793-914e0fe1f579,SUBMITTED,true,10,5a268780-fafd-4243-9551-5c7daa824913
923f9eda-0cd0-4ea2-81bb-a21c1883c6ca,66788ada-dfb9-4feb-bacb-e066768a5667,10845cb9-d365-4aaa-badd-b4fa39c6a26a,61694e82-1be6-40a4-9aaa-bfbb720a0d7d,RELEASED,false,8,4b30f6c9-b84b-4f17-8173-852101a5ea29
ad55d643-2451-4564-a9c0-990112eb378e,e33f8a8f-ac0a-4589-870e-96a1a67d8c50,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,SUBMITTED,false,11,4b30f6c9-b84b-4f17-8173-852101a5ea29
715bcb99-5132-4f92-ba20-7aee5a0bcb36,ffed25f1-d0f6-4e05-8566-58bd49140a99,dce17f2e-af3e-40ad-8e00-3496adef44c3,f55d9dda-d440-40c0-a793-914e0fe1f579,RELEASED,true,11,5a268780-fafd-4243-9551-5c7daa824913
ccb6e3c5-5853-468a-a0c8-03bef589d950,9f9d50d2-b3ba-445b-b97b-7b3c65492a2b,dce17f2e-af3e-40ad-8e00-3496adef44c3,f419bcd8-ac7a-4b75-8c84-c065ef437938,AUTHORIZED,true,10,5a268780-fafd-4243-9551-5c7daa824913
cac7929e-ed7e-4f89-9134-715c9b7cb5d4,b1fdb0e5-e265-41b2-83bf-d2c6bee47b13,dce17f2e-af3e-40ad-8e00-3496adef44c3,8d870ab0-a8d5-11e7-abc4-cec278b6b50a,RELEASED,true,12,5a268780-fafd-4243-9551-5c7daa824913
bdf1a6a4-fd22-43dd-9860-20417fa07063,18eb6fbc-2eaf-4cf0-98a1-43e3ca23c39b,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,IN_APPROVAL,true,5,4b30f6c9-b84b-4f17-8173-852101a5ea29
2251863c-f5de-43ff-b8c6-822136da27cd,eb7d5f5d-ce72-4952-af09-36c550f3fc48,10845cb9-d365-4aaa-badd-b4fa39c6a26a,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,IN_APPROVAL,true,2,4b30f6c9-b84b-4f17-8173-852101a5ea29
26ac5b6b-ab46-42cb-85be-fe5e529860e5,e747dde8-1387-4085-9f8b-c0308d7bae13,dce17f2e-af3e-40ad-8e00-3496adef44c3,c08e1295-793f-4550-933b-571e117f15d9,INITIATED,true,3,5a268780-fafd-4243-9551-5c7daa824913
a93559bb-a53a-46b1-b6ca-97f8021d600a,1d46c830-5a6a-4205-93c8-b2ef339207f4,dce17f2e-af3e-40ad-8e00-3496adef44c3,c5012ddf-b145-4eee-9640-b2cbf4f2da85,AUTHORIZED,false,10,5a268780-fafd-4243-9551-5c7daa824913
2606aa4a-8833-4dcc-bf73-1ae4fd45146f,75852773-058f-4afb-8762-e4c6deea31c0,dce17f2e-af3e-40ad-8e00-3496adef44c3,65671374-66e2-4a11-a7dc-05b645c6d815,IN_APPROVAL,false,6,5a268780-fafd-4243-9551-5c7daa824913
a6f640a3-7aa5-4dd7-a301-ae7a2147030c,44cc8298-d553-42c8-8c00-14f083ec8d81,dce17f2e-af3e-40ad-8e00-3496adef44c3,c08e1295-793f-4550-933b-571e117f15d9,AUTHORIZED,false,2,5a268780-fafd-4243-9551-5c7daa824913
cc7d5cec-3134-4e98-8c4e-160df496d368,96b0f41b-5614-44f7-adc1-578688b262b7,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c08e1295-793f-4550-933b-571e117f15d9,SUBMITTED,false,10,4b30f6c9-b84b-4f17-8173-852101a5ea29
acd36240-0a28-45f3-a12c-51310e2ff6f0,224b89d2-c4c7-42cb-b5b9-6eb32a8daf78,dce17f2e-af3e-40ad-8e00-3496adef44c3,61694e82-1be6-40a4-9aaa-bfbb720a0d7d,APPROVED,true,2,5a268780-fafd-4243-9551-5c7daa824913
dd5d535e-8241-423d-8b53-5321bf0c05c5,9d4d0fa7-dbce-4c62-9ae2-03f5126aa553,dce17f2e-af3e-40ad-8e00-3496adef44c3,516ac930-0d28-49f5-a178-64764e22b236,REJECTED,false,9,5a268780-fafd-4243-9551-5c7daa824913
5d7f75a0-b28a-4096-a673-6bcb8b6bf7c2,a2749da3-4287-44c7-8cab-a7d139d5dca7,10845cb9-d365-4aaa-badd-b4fa39c6a26a,65671374-66e2-4a11-a7dc-05b645c6d815,IN_APPROVAL,true,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
74fb4168-0bd4-46dc-8ac0-753e1a9060b4,ffed5a43-65a7-49a8-9592-164939a06544,dce17f2e-af3e-40ad-8e00-3496adef44c3,c08e1295-793f-4550-933b-571e117f15d9,SUBMITTED,true,1,5a268780-fafd-4243-9551-5c7daa824913
ff8917cd-54b4-4965-bbda-e2cb925f4d4c,3e51c361-517f-4b6d-aa32-68a2b3bfee2a,dce17f2e-af3e-40ad-8e00-3496adef44c3,f2cecbc4-c6cc-48ca-b4e7-11e69238b386,SKIPPED,true,3,5a268780-fafd-4243-9551-5c7daa824913
2602368b-f018-4927-ade5-d4499f7081e7,bb133db2-3bbc-42df-b648-866eaddf5105,10845cb9-d365-4aaa-badd-b4fa39c6a26a,516ac930-0d28-49f5-a178-64764e22b236,IN_APPROVAL,true,5,4b30f6c9-b84b-4f17-8173-852101a5ea29
20eb3c65-9a9a-45c3-a6fe-bb4df677f2d9,a2fe87c0-40a9-4f20-a65b-4adf0948c495,dce17f2e-af3e-40ad-8e00-3496adef44c3,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,IN_APPROVAL,true,5,5a268780-fafd-4243-9551-5c7daa824913
ac1af643-6e67-41f4-ab5b-0da24b56dc95,19c20c4a-31f8-41ad-bf24-c6453803334b,dce17f2e-af3e-40ad-8e00-3496adef44c3,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,INITIATED,true,3,5a268780-fafd-4243-9551-5c7daa824913
be1f6aff-916e-432b-83e6-7b4354236778,12b2934e-6e10-481a-b618-98a2e45b45db,10845cb9-d365-4aaa-badd-b4fa39c6a26a,f419bcd8-ac7a-4b75-8c84-c065ef437938,AUTHORIZED,true,4,4b30f6c9-b84b-4f17-8173-852101a5ea29
bf2e2ea0-ec90-4488-88cc-1ccbda189ac2,d366775f-94fd-4d3d-b32c-01ca78caa66a,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,SUBMITTED,false,1,4b30f6c9-b84b-4f17-8173-852101a5ea29
7b3a21e4-0e7e-4263-9b71-a716a421835e,555cfb33-f20a-42aa-a38d-82dbc18403ef,dce17f2e-af3e-40ad-8e00-3496adef44c3,f55d9dda-d440-40c0-a793-914e0fe1f579,SUBMITTED,true,10,5a268780-fafd-4243-9551-5c7daa824913
618c9f2d-1934-4b92-9874-c4f691cec760,2155ea5a-0926-4d65-bd3a-757fc2c3f01b,10845cb9-d365-4aaa-badd-b4fa39c6a26a,8d870ab0-a8d5-11e7-abc4-cec278b6b50a,APPROVED,false,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
d8ad0976-a356-469e-8b4f-e487949d78ca,17431f02-76b8-4cad-90b1-1ebbc96d7c50,10845cb9-d365-4aaa-badd-b4fa39c6a26a,7880be4f-6582-472a-9ea5-a6baed71e6e5,AUTHORIZED,true,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
6d393775-fbd4-4ee3-91a4-71676fbd2680,e89873a0-c76e-4ea2-bf54-a28ffcf1c311,dce17f2e-af3e-40ad-8e00-3496adef44c3,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,AUTHORIZED,true,11,5a268780-fafd-4243-9551-5c7daa824913
08143279-07ec-4d1b-b912-a143eb3ff735,02e35ea3-f754-4499-9be3-8e74d070b9fe,dce17f2e-af3e-40ad-8e00-3496adef44c3,c9287c65-67fa-4958-adb6-52069f2b1379,SUBMITTED,false,10,5a268780-fafd-4243-9551-5c7daa824913
fccd2a6f-5051-4868-a4df-0a140e852fd7,4ba5b215-7877-4413-9ae0-582ec0e1886a,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c08e1295-793f-4550-933b-571e117f15d9,RELEASED,false,9,4b30f6c9-b84b-4f17-8173-852101a5ea29
22608888-ac24-456d-8066-d8c69f60af21,797676df-ff81-468c-bc8f-536d3ac9fc22,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c9287c65-67fa-4958-adb6-52069f2b1379,SKIPPED,true,1,4b30f6c9-b84b-4f17-8173-852101a5ea29
201fcdba-9b6e-4550-ad86-aeadfa1e525f,30646f5e-84e3-46c0-98a3-59528fa786d5,dce17f2e-af3e-40ad-8e00-3496adef44c3,96da0fc3-28fd-4a3f-87a8-b5cdb175c45a,SKIPPED,true,11,5a268780-fafd-4243-9551-5c7daa824913
8e402d55-a087-4a64-abf3-41d13607670b,c371550b-d1ed-4209-98cf-608c7449da1c,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c9287c65-67fa-4958-adb6-52069f2b1379,AUTHORIZED,false,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
0da650a3-b9f5-4b00-85a6-cb920dcb9d4e,830d4dfb-2452-479c-bd3a-921b996783c8,dce17f2e-af3e-40ad-8e00-3496adef44c3,f55d9dda-d440-40c0-a793-914e0fe1f579,INITIATED,false,9,5a268780-fafd-4243-9551-5c7daa824913
4ccf8948-96b1-4eeb-bfeb-01d1aca936d1,e76783ab-442c-4af9-91f8-f31feb45321d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,RELEASED,true,1,4b30f6c9-b84b-4f17-8173-852101a5ea29
af1f23d6-ed71-495e-a3f7-f4c292bed4e5,8b7c2126-24b4-4c84-bee4-3009d4856e32,10845cb9-d365-4aaa-badd-b4fa39c6a26a,f419bcd8-ac7a-4b75-8c84-c065ef437938,SUBMITTED,false,1,4b30f6c9-b84b-4f17-8173-852101a5ea29
e8dd62ee-ec09-4619-84c3-3581d8044396,fa664b2f-d4a9-495d-a2a9-803bd469c981,10845cb9-d365-4aaa-badd-b4fa39c6a26a,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,RELEASED,false,9,4b30f6c9-b84b-4f17-8173-852101a5ea29
411c9ecb-17e8-49db-bfc5-b2d6d6a48503,a98aaaa0-3391-4dc2-81d2-af22807c8bac,dce17f2e-af3e-40ad-8e00-3496adef44c3,f2cecbc4-c6cc-48ca-b4e7-11e69238b386,AUTHORIZED,false,12,5a268780-fafd-4243-9551-5c7daa824913
cb2f8a2d-20f2-45e1-80f1-31283d04dd22,44392f5a-1a59-4bcb-9951-ee21acaf9c38,dce17f2e-af3e-40ad-8e00-3496adef44c3,baf98c9a-408b-4e9e-b56a-38640c7dfed6,AUTHORIZED,false,8,5a268780-fafd-4243-9551-5c7daa824913
ae19592d-6a0e-4b12-890c-d5552ec7bbf8,f62189a0-a3e6-401c-9332-66626d0f72b1,dce17f2e-af3e-40ad-8e00-3496adef44c3,04ec3c83-a086-4792-b7a3-c46559b7f6cd,REJECTED,false,5,5a268780-fafd-4243-9551-5c7daa824913
bd0f6588-1012-44fe-a0e3-9342f4be0811,3dd4d4b8-a66e-4c9e-a60d-670213d934bd,dce17f2e-af3e-40ad-8e00-3496adef44c3,c9287c65-67fa-4958-adb6-52069f2b1379,INITIATED,false,2,5a268780-fafd-4243-9551-5c7daa824913
ce8cbced-646b-45b3-a304-7baf2a245a6c,128345f0-c812-4ffb-880b-d2cde4685338,10845cb9-d365-4aaa-badd-b4fa39c6a26a,65671374-66e2-4a11-a7dc-05b645c6d815,AUTHORIZED,true,9,4b30f6c9-b84b-4f17-8173-852101a5ea29
674f2800-6663-4c65-966b-6c47d3fdaafc,c445b5fc-b5dd-4eae-87b8-e64b52cbca06,10845cb9-d365-4aaa-badd-b4fa39c6a26a,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,INITIATED,false,6,4b30f6c9-b84b-4f17-8173-852101a5ea29
088fcfba-2972-4da7-8756-bc6551ae9b24,3e352843-9917-4f7e-bf32-8876bcad0199,dce17f2e-af3e-40ad-8e00-3496adef44c3,04ec3c83-a086-4792-b7a3-c46559b7f6cd,IN_APPROVAL,true,6,5a268780-fafd-4243-9551-5c7daa824913
6f14102d-7196-41f0-b637-68ea5dd2a320,74103b44-12fb-4a17-b05c-d7fe788475bc,dce17f2e-af3e-40ad-8e00-3496adef44c3,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,SKIPPED,false,12,5a268780-fafd-4243-9551-5c7daa824913
370a8473-7b90-4a61-a468-28587752b6bd,411ab1da-7abd-4b2b-be2c-712d9308f6ed,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,IN_APPROVAL,false,5,4b30f6c9-b84b-4f17-8173-852101a5ea29
6cda7903-c64c-4542-85b0-78c98f341dc0,1a622aa1-e3ab-4f0a-86b4-93e4ec3e6d3b,10845cb9-d365-4aaa-badd-b4fa39c6a26a,96da0fc3-28fd-4a3f-87a8-b5cdb175c45a,REJECTED,false,3,4b30f6c9-b84b-4f17-8173-852101a5ea29
03d2e756-bc67-4ad9-81e7-780e2dd7967d,45a63a31-f22d-48bb-a551-7eac5797b5bc,dce17f2e-af3e-40ad-8e00-3496adef44c3,c5012ddf-b145-4eee-9640-b2cbf4f2da85,AUTHORIZED,false,5,5a268780-fafd-4243-9551-5c7daa824913
e49d303c-2468-430e-8109-4ec50cefe554,1c4bf7aa-f45e-4a29-9e70-9efee4951231,10845cb9-d365-4aaa-badd-b4fa39c6a26a,516ac930-0d28-49f5-a178-64764e22b236,APPROVED,false,9,4b30f6c9-b84b-4f17-8173-852101a5ea29
d016ed81-d848-40e4-91ad-b8f1432406ca,fc46e727-74b4-4b85-a56e-3dd46c7b91b4,dce17f2e-af3e-40ad-8e00-3496adef44c3,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,IN_APPROVAL,true,6,5a268780-fafd-4243-9551-5c7daa824913
df6fbdb4-3845-468f-a558-fae830a00380,f1c26d4e-297c-4c36-aba4-5fe80b579e77,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,INITIATED,true,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
eef4b7fe-5713-4b37-90af-bca1aa41861c,9a515b43-4caf-4ba5-9588-e4faa8ce706b,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,REJECTED,false,11,4b30f6c9-b84b-4f17-8173-852101a5ea29
e963b6de-c210-42ae-a9a3-3108e0c3cd1f,56d19671-243e-4fb7-930c-15fa76e8c25a,dce17f2e-af3e-40ad-8e00-3496adef44c3,8d870ab0-a8d5-11e7-abc4-cec278b6b50a,INITIATED,false,1,5a268780-fafd-4243-9551-5c7daa824913
5d9dc75d-b067-4286-9377-b96da818f209,b1ad6bf4-d192-4b9d-be69-9c2a0e793926,10845cb9-d365-4aaa-badd-b4fa39c6a26a,04ec3c83-a086-4792-b7a3-c46559b7f6cd,RELEASED,true,1,4b30f6c9-b84b-4f17-8173-852101a5ea29
72f7db31-9652-46b7-bc61-95f2bea2d95b,6f2bb477-439f-4810-b805-fbaa089abd90,dce17f2e-af3e-40ad-8e00-3496adef44c3,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,INITIATED,true,7,5a268780-fafd-4243-9551-5c7daa824913
4de89de7-58d0-4ea8-9d59-2dab9b696d49,ea90a48e-3d2d-4818-8360-839058222902,dce17f2e-af3e-40ad-8e00-3496adef44c3,61694e82-1be6-40a4-9aaa-bfbb720a0d7d,RELEASED,true,10,5a268780-fafd-4243-9551-5c7daa824913
187ee06a-598e-4665-a2e3-7f5878fe337b,53c54ebc-4702-497b-9b94-2a8e3515fafc,10845cb9-d365-4aaa-badd-b4fa39c6a26a,8d870ab0-a8d5-11e7-abc4-cec278b6b50a,REJECTED,true,10,4b30f6c9-b84b-4f17-8173-852101a5ea29
6b32a250-dd4a-47c3-8eb3-bc810f561a27,658ec4af-179a-4900-a97f-a89133322ab0,10845cb9-d365-4aaa-badd-b4fa39c6a26a,516ac930-0d28-49f5-a178-64764e22b236,SKIPPED,true,4,4b30f6c9-b84b-4f17-8173-852101a5ea29
20edcd5d-4a64-4d07-a67a-f92a7590dd14,aa7f80a6-d685-496e-86d1-0c3c61e2f1d0,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a4eefb4e-2bb6-4793-9f70-2cc5365de7c6,REJECTED,true,11,4b30f6c9-b84b-4f17-8173-852101a5ea29
c9c749a4-7051-49f4-857d-7911048e964c,cf043a9a-43b9-419c-bebc-704a7e0d18a0,dce17f2e-af3e-40ad-8e00-3496adef44c3,baf98c9a-408b-4e9e-b56a-38640c7dfed6,SUBMITTED,true,8,5a268780-fafd-4243-9551-5c7daa824913
83a4cd87-1c4e-4534-8000-8ff2627a65e9,56690a08-20e8-443c-bd78-e1cd6c1fbcea,dce17f2e-af3e-40ad-8e00-3496adef44c3,04ec3c83-a086-4792-b7a3-c46559b7f6cd,APPROVED,false,7,5a268780-fafd-4243-9551-5c7daa824913
233a763e-8436-4a2d-b741-d990e9c01c83,786d8bcb-610c-458e-870f-20255ff15840,10845cb9-d365-4aaa-badd-b4fa39c6a26a,04ec3c83-a086-4792-b7a3-c46559b7f6cd,APPROVED,false,2,4b30f6c9-b84b-4f17-8173-852101a5ea29
dbace53a-8916-4059-969b-7e02eadac44f,c9fa1c53-9e83-44f2-a5ff-988765918deb,dce17f2e-af3e-40ad-8e00-3496adef44c3,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,REJECTED,false,2,5a268780-fafd-4243-9551-5c7daa824913
986a69f8-4c19-405f-a904-1572fe7dcb0e,6ed49c1c-38f0-4e68-bd26-972e2791c1a2,dce17f2e-af3e-40ad-8e00-3496adef44c3,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,AUTHORIZED,false,6,5a268780-fafd-4243-9551-5c7daa824913
a0c5114d-537b-4092-ac59-a95b69497d30,3dd4d4b8-a66e-4c9e-a60d-670213d934bd,dce17f2e-af3e-40ad-8e00-3496adef44c3,7880be4f-6582-472a-9ea5-a6baed71e6e5,SUBMITTED,false,9,5a268780-fafd-4243-9551-5c7daa824913
677aed42-de4b-44b4-829b-8215da6bff88,912a6df4-ee51-4739-8797-a96778481273,10845cb9-d365-4aaa-badd-b4fa39c6a26a,96da0fc3-28fd-4a3f-87a8-b5cdb175c45a,IN_APPROVAL,false,8,4b30f6c9-b84b-4f17-8173-852101a5ea29
4ccaaef5-caa5-4e29-9027-3505bb3de437,a32c9204-4bc9-4b17-9db0-428b069d1875,dce17f2e-af3e-40ad-8e00-3496adef44c3,baf98c9a-408b-4e9e-b56a-38640c7dfed6,SKIPPED,false,1,5a268780-fafd-4243-9551-5c7daa824913
87806315-7eb5-4e7d-ab68-e3266926f1e8,c1e8bd2f-39f7-4386-bb22-41bdbcf510ff,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c5012ddf-b145-4eee-9640-b2cbf4f2da85,SKIPPED,false,4,4b30f6c9-b84b-4f17-8173-852101a5ea29
6e79b175-01a4-44dd-8869-973e77a0abdf,10725b82-48c6-4b04-aea5-8f042f825073,dce17f2e-af3e-40ad-8e00-3496adef44c3,61694e82-1be6-40a4-9aaa-bfbb720a0d7d,SKIPPED,true,9,5a268780-fafd-4243-9551-5c7daa824913
c3475083-91d2-458e-8c30-1a04f88cb54f,689cc174-1612-4934-aee4-b91fef8613d8,10845cb9-d365-4aaa-badd-b4fa39c6a26a,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,RELEASED,true,2,4b30f6c9-b84b-4f17-8173-852101a5ea29
e61e02da-76c1-4369-97dc-8f8cf3990afa,a9f8f42e-532d-4e96-b2e7-9b6114eb3d70,10845cb9-d365-4aaa-badd-b4fa39c6a26a,516ac930-0d28-49f5-a178-64764e22b236,SKIPPED,false,4,4b30f6c9-b84b-4f17-8173-852101a5ea29
25a3e5bc-d7aa-4d0d-ab85-3fd09e8f4516,320257ba-466e-49c4-98d2-3d9d1dfc50f5,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a4eefb4e-2bb6-4793-9f70-2cc5365de7c6,IN_APPROVAL,false,2,4b30f6c9-b84b-4f17-8173-852101a5ea29
0594af80-cb59-441a-901e-62c756cccb4d,aa32fe56-e19d-4e91-8306-d6d6c83428a6,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c5012ddf-b145-4eee-9640-b2cbf4f2da85,INITIATED,false,1,4b30f6c9-b84b-4f17-8173-852101a5ea29
1ce76856-0099-47b8-8178-3bf9bb941643,5104b1ef-b178-434a-b2d5-d993d69c50a2,dce17f2e-af3e-40ad-8e00-3496adef44c3,2d490229-02f8-4235-9be4-1443fd8f7b4f,REJECTED,false,10,5a268780-fafd-4243-9551-5c7daa824913
39db2ca7-9e36-47a8-8939-8444047a0126,5389741c-08c3-4496-93ea-e843af2ec323,10845cb9-d365-4aaa-badd-b4fa39c6a26a,f419bcd8-ac7a-4b75-8c84-c065ef437938,SUBMITTED,false,10,4b30f6c9-b84b-4f17-8173-852101a5ea29
3b1ec0b0-f8a1-44f5-84bb-23a0c935844c,786d8bcb-610c-458e-870f-20255ff15840,10845cb9-d365-4aaa-badd-b4fa39c6a26a,c9287c65-67fa-4958-adb6-52069f2b1379,REJECTED,true,5,4b30f6c9-b84b-4f17-8173-852101a5ea29
78ba0560-8ebe-4e93-95fa-72d0ab0443d2,229b99b5-e5c1-4834-9f4c-a74f558d16ad,dce17f2e-af3e-40ad-8e00-3496adef44c3,96da0fc3-28fd-4a3f-87a8-b5cdb175c45a,REJECTED,false,6,5a268780-fafd-4243-9551-5c7daa824913
be82f60d-0f94-4271-a8af-783abb21dcae,5792f88a-834e-4c72-b045-221aa1c1c9fb,dce17f2e-af3e-40ad-8e00-3496adef44c3,c9287c65-67fa-4958-adb6-52069f2b1379,IN_APPROVAL,false,3,5a268780-fafd-4243-9551-5c7daa824913
50b42d4b-3ff4-43a6-ad8d-070ab4c0a4f3,a17a5290-d73a-49e5-9fd2-b5de3c92c63e,dce17f2e-af3e-40ad-8e00-3496adef44c3,2a9fddb6-5dd3-4dde-81f3-c19629257986,APPROVED,true,5,5a268780-fafd-4243-9551-5c7daa824913
7fd8527c-6932-4754-bd75-6b3c8d0a31fe,0ee749b1-b1f2-444c-8757-f993176b09a0,dce17f2e-af3e-40ad-8e00-3496adef44c3,f419bcd8-ac7a-4b75-8c84-c065ef437938,IN_APPROVAL,false,3,5a268780-fafd-4243-9551-5c7daa824913
